datetime,latitude,longitude
2016-04-07 14:40:16.322000+00:00,6.5734418,3.3716697
2016-04-07 15:03:29.177000+00:00,6.5685709,3.3707146
2016-04-07 15:05:20.283000+00:00,6.5708407,3.3718019
2016-04-07 15:08:52.281000+00:00,6.574512,3.3729136
2016-04-07 15:12:13.380000+00:00,6.5744002,3.3730224
2016-04-07 16:42:39.572000+00:00,6.5741154,3.3729187
2016-04-07 17:24:37.521000+00:00,6.5704233,3.3718115
2016-04-07 17:27:14.333000+00:00,6.5650215,3.3688751
2016-04-07 17:33:30.268000+00:00,6.5628128,3.3754115
2016-04-07 17:38:50+00:00,6.5629356,3.3754776
2016-04-07 18:43:00.112000+00:00,6.5628408,3.3754433
2016-04-07 18:52:49.587000+00:00,6.5626025,3.3759773
2016-04-07 19:02:59.634000+00:00,6.5626627,3.3744653
2016-04-07 19:33:09.551000+00:00,6.5629388,3.3745615
2016-04-07 20:20:49.394000+00:00,6.5740948,3.3729954
2016-04-07 20:51:16+00:00,6.5742963,3.3727391
2016-04-07 20:59:53+00:00,6.5742647,3.3727701
2016-04-07 22:54:32+00:00,6.574296,3.3729047
2016-04-08 00:57:35.528000+00:00,6.5741059,3.3729768
2016-04-08 01:26:42.079000+00:00,6.5739596,3.3729712
2016-04-08 02:20:50.590000+00:00,6.5744188,3.3728581
2016-04-08 02:51:47.999000+00:00,6.5741479,3.3730152
2016-04-08 03:16:33.999000+00:00,6.573998,3.3730829
2016-04-08 05:22:49+00:00,6.574075,3.3731059
2016-04-08 11:05:01.290000+00:00,6.5726796,3.3714356
2016-04-08 12:59:56.093000+00:00,6.5742723,3.372969
2016-04-08 14:25:57+00:00,6.574027,3.372899
2016-04-08 15:05:58.826000+00:00,6.5651736,3.3869004
2016-04-08 15:13:39.997000+00:00,6.5740603,3.3730534
2016-04-08 15:52:33.969000+00:00,6.5739841,3.3730325
2016-04-08 16:04:06.208000+00:00,6.5693855,3.3783549
2016-04-08 16:12:12.814000+00:00,6.5740904,3.3730052
